gap_s_mm,Phi,chi,FA_open_kN,eps_face_ue
0.000000000000000000e+00,7.366952924582072237e-02,1.019688151307896196e-01,4.534019048925958941e+02,-3.455446734230571906e+02
1.000000000000000021e-02,7.366952924582764739e-02,1.760478661879520401e-01,4.534019048925992479e+02,-7.375323229601651747e+02
2.000000000000000042e-02,7.366952924581013362e-02,2.496678770714728657e-01,4.534019048925907782e+02,-1.130098325950166782e+03
5.000000000000000278e-02,7.366952924582007012e-02,4.636569627516350378e-01,4.534019048925956099e+02,-2.311824867966058264e+03
1.000000000000000056e-01,7.366952924582077789e-02,8.358635131358317372e-01,4.534019048925959510e+02,-4.264198521953072486e+03
2.000000000000000111e-01,2.911630053267324492e-01,1.000000000000000000e+00,5.925198644486599733e+02,-4.907884251065801436e+03
